datetime,FST_Thermocouple_Handheld,AirTemp,SolarA,dp,ws,SolarB,treatment,date,FruitSize(mm),FST_SolarA_WeatherBased,FST_SolarB_WeatherBAsed
7/29/2022 12:03,32.8,34.6,768,23.31211128,0.53,81,Control,7/29/2022,47,53.51,44.9
7/29/2022 12:04,33.4,34.8,770,21.47829448,0.57,81,Control,7/29/2022,47,52.99,44.58
7/29/2022 12:05,31.75,34,771,23.53758736,0.59,80,Control,7/29/2022,47,52.23,43.88
7/29/2022 12:06,31.8,34.1,773,24.11139467,0.56,80,Control,7/29/2022,47,52.79,44.26
7/29/2022 12:07,31.25,34.3,776,25.56340231,0.59,80,Control,7/29/2022,47,52.89,44.49
7/29/2022 12:08,30.5,34.4,778,23.38111188,0.61,81,Control,7/29/2022,47,52.48,44.17
7/29/2022 13:16,34.43333333,34.9,830,27.42420182,0.51,87,Control,7/29/2022,47,55.48,46.07
7/29/2022 13:18,35.325,35.3,831,24.89219907,0.43,88,Control,7/29/2022,47,56.79,46.82
7/29/2022 13:19,34,35.1,831,25.06901727,0.43,88,Control,7/29/2022,47,56.61,46.64
7/29/2022 13:20,36.125,35.8,831,26.33886659,0.55,88,Control,7/29/2022,47,55.72,46.58
7/29/2022 13:21,39.1,35.8,832,27.33100639,0.53,89,Control,7/29/2022,47,56.14,46.89
7/29/2022 13:22,35.16666667,35.9,832,28.34362566,0.62,89,Control,7/29/2022,47,55.26,46.51
7/29/2022 14:03,37.8,36.1,833,27.7507204,0.65,116,Control,7/29/2022,47,55.06,46.77
7/29/2022 14:04,37.3,36.4,833,28.11521611,0.69,117,Control,7/29/2022,47,55.01,46.91
7/29/2022 14:06,38.45,36.6,831,27.83038074,0.54,119,Control,7/29/2022,47,56.9,48.12
7/29/2022 14:07,39.6,36.9,832,27.36393612,0.57,136,Control,7/29/2022,47,56.77,48.35
7/29/2022 14:09,40.6,35.5,827,27.78024146,0.64,568,Control,7/29/2022,47,54.48,51.48
7/29/2022 14:10,37.75,35.4,826,29.36525348,0.65,816,Control,7/29/2022,47,54.48,54.36
7/29/2022 14:12,37.4,35.4,826,28.69529373,0.69,905,Control,7/29/2022,47,53.97,54.85
7/29/2022 14:13,40.9,35.5,825,28.66377143,0.56,905,Control,7/29/2022,47,55.54,56.51
7/29/2022 14:14,43.5,35.1,826,29.27220194,0.5,906,Control,7/29/2022,47,56.06,57.07
7/29/2022 14:15,39.73333333,35.2,826,28.73050099,0.52,905,Control,7/29/2022,47,55.79,56.77
7/29/2022 15:26,48.05,38.2,761,28.09610002,0.72,859,Control,7/29/2022,47,55.8,56.88
7/29/2022 15:27,42.8,38.3,760,26.87255122,0.75,857,Control,7/29/2022,47,55.46,56.51
7/29/2022 15:28,44.06666667,38,759,28.00103215,0.74,856,Control,7/29/2022,47,55.38,56.43
7/29/2022 15:29,44.2,38,758,28.1211322,0.71,856,Control,7/29/2022,47,55.65,56.74
7/29/2022 15:30,43.2,37.9,756,24.99298954,0.73,854,Control,7/29/2022,47,54.92,56
7/29/2022 15:31,44.8,37.8,753,28.20241726,0.72,849,Control,7/29/2022,47,55.31,56.37
7/29/2022 15:32,45.25,37.3,752,27.99934766,0.73,848,Control,7/29/2022,47,54.66,55.71
7/29/2022 15:33,41.3,38.2,751,28.78095644,0.7,848,Control,7/29/2022,47,55.97,57.05
7/12/2022 13:04,26.1,28.8,883,21.62557538,0.35,119,Fogging,7/12/2022,56,53.25,41.37
7/12/2022 13:05,27.5,28.9,886,23.44629954,0.33,114,Fogging,7/12/2022,56,54.19,41.98
7/12/2022 13:07,29,29,889,23.74750919,0.26,104,Fogging,7/12/2022,56,56.4,43.05
7/12/2022 13:10,27.05,29,890,23.77018007,0.29,104,Fogging,7/12/2022,56,55.49,42.56
7/12/2022 13:11,26.3,29.1,891,23.15011256,0.24,104,Fogging,7/12/2022,56,57.1,43.41
7/12/2022 13:16,26.23333333,29,890,21.33143887,0.25,108,Fogging,7/12/2022,56,56.3,42.84
7/12/2022 13:17,26.4,29.1,889,20.68909084,0.14,109,Fogging,7/12/2022,56,61.22,45.51
7/12/2022 13:18,27.03333333,29.1,889,22.81761282,0.24,110,Fogging,7/12/2022,56,57.01,43.45
7/12/2022 13:19,26.55,29.1,888,24.62209276,0.3,111,Fogging,7/12/2022,56,55.43,42.79
7/12/2022 14:22,28.8,29.5,854,20.49029259,0.32,160,Fogging,7/12/2022,56,54.05,42.98
7/12/2022 14:23,30.1,29.4,853,21.52689124,0.35,160,Fogging,7/12/2022,56,53.39,42.65
7/12/2022 14:24,27.95,29.5,851,22.48899051,0.35,160,Fogging,7/12/2022,56,53.63,42.92
7/12/2022 14:25,28.15,29.5,851,23.79043751,0.25,161,Fogging,7/12/2022,56,56.61,44.78
7/12/2022 14:26,28.7,29.5,851,23.8137181,0.31,161,Fogging,7/12/2022,56,54.84,43.74
7/12/2022 14:27,29.35,29.4,851,24.71448381,0.31,162,Fogging,7/12/2022,56,54.89,43.81
7/12/2022 14:28,26,29.4,849,24.55936504,0.31,162,Fogging,7/12/2022,56,54.83,43.78
7/12/2022 14:29,29.2,29.6,849,24.2327277,0.32,162,Fogging,7/12/2022,56,54.72,43.79
7/12/2022 14:33,28.3,29.6,845,24.52805536,0.37,164,Fogging,7/12/2022,56,53.54,43.18
7/12/2022 14:34,29.3,29.6,844,25.03969054,0.42,164,Fogging,7/12/2022,56,52.6,42.68
7/12/2022 14:35,30.7,29.5,843,24.70025288,0.39,165,Fogging,7/12/2022,56,53.01,42.87
7/12/2022 15:59,31.55,30.3,632,24.1061192,0.42,174,Fogging,7/12/2022,56,50.12,43.42
7/12/2022 16:00,30,30.3,490,24.71988921,0.45,134,Fogging,7/12/2022,56,47.73,42.63
7/12/2022 16:05,30,30.3,654,25.49406087,0.47,181,Fogging,7/12/2022,56,49.88,43.23
7/12/2022 16:06,29.8,30.3,587,25.69390136,0.47,161,Fogging,7/12/2022,56,48.98,42.97
